Ranking,Escenario,TMT_Inicial,TMT_Optimizado,Reduccion_TMT,Porcentaje_Mejora,Estado,Categoria,Pares_Total,Coordinados_Inicial,Coordinados_Optimizado,Porcentaje_Coord_Inicial,Porcentaje_Coord_Optimizado,Relays_Optimizados
55,scenario_66,14.945,20.564,-5.619,-37.6,EMPEORÓ,Muy Malo,100,14,73,14.0,73.0,74
56,scenario_58,15.259,20.934,-5.674,-37.2,EMPEORÓ,Muy Malo,100,12,73,12.0,73.0,74
57,scenario_56,14.987,20.756,-5.769,-38.5,EMPEORÓ,Muy Malo,100,12,71,12.0,71.0,74
58,scenario_49,13.996,19.774,-5.778,-41.3,EMPEORÓ,Muy Malo,100,9,67,9.0,67.0,73
59,scenario_61,15.426,21.345,-5.919,-38.4,EMPEORÓ,Muy Malo,100,11,72,11.0,72.0,74
60,scenario_37,14.381,20.454,-6.073,-42.2,EMPEORÓ,Muy Malo,100,8,71,8.0,71.0,73
61,scenario_53,15.508,21.668,-6.160,-39.7,EMPEORÓ,Muy Malo,100,9,66,9.0,66.0,74
62,scenario_10,13.612,19.812,-6.200,-45.5,EMPEORÓ,Muy Malo,100,12,72,12.0,72.0,73
63,scenario_36,15.695,21.943,-6.248,-39.8,EMPEORÓ,Muy Malo,100,10,71,10.0,71.0,74
64,scenario_3,13.545,19.936,-6.391,-47.2,EMPEORÓ,Muy Malo,100,11,65,11.0,65.0,73
65,scenario_55,15.091,21.855,-6.764,-44.8,EMPEORÓ,Muy Malo,100,15,65,15.0,65.0,74
66,scenario_32,15.805,23.330,-7.526,-47.6,EMPEORÓ,Muy Malo,100,11,69,11.0,69.0,74
67,scenario_68,15.043,22.629,-7.586,-50.4,EMPEORÓ,Muy Malo,100,16,65,16.0,65.0,74
68,scenario_51,13.790,21.542,-7.751,-56.2,EMPEORÓ,Muy Malo,100,12,73,12.0,73.0,73
