scenario_id,status,pairs_count,relays_count,optimized_relays,tmt_before,tmt_after,tmt_improvement,tmt_improvement_pct,coordination_before,coordination_after,coordination_pct_before,coordination_pct_after,avg_tds,std_tds,min_tds,max_tds,avg_pickup,std_pickup,min_pickup,max_pickup,fault_types,optimization_efficiency
scenario_42,❌ EMPEORÓ,97,73,73,13.4124,16.937791,-3.525391,-26.28,14,65,14.0,65.0,0.39878,0.17805,0.07719,0.77901,0.13293,0.08253,0.01438,0.47815,2,100.0
scenario_41,❌ EMPEORÓ,97,73,73,13.3719,16.940597,-3.568697,-26.69,12,67,12.0,67.0,0.39996,0.16834,0.06472,0.75968,0.17722,0.09738,0.01558,0.4746,2,100.0
scenario_35,❌ EMPEORÓ,100,74,74,15.5672,19.167761,-3.600561,-23.13,11,66,11.0,66.0,0.43186,0.19529,0.07592,0.78731,0.47215,0.50417,0.06283,3.60415,2,100.0
scenario_29,❌ EMPEORÓ,100,74,74,15.7265,19.385723,-3.659223,-23.27,15,63,15.0,63.0,0.40724,0.19398,0.05103,0.79923,0.44936,0.51169,0.05058,3.6293,2,100.0
scenario_23,❌ EMPEORÓ,100,74,74,15.6903,19.414939,-3.724639,-23.74,10,66,10.0,66.0,0.42335,0.18488,0.0612,0.77772,0.45353,0.40659,0.05688,1.99368,2,100.0
scenario_63,❌ EMPEORÓ,100,74,74,15.4762,19.20787,-3.73167,-24.11,15,66,15.0,66.0,0.40689,0.18845,0.08425,0.7841,0.41101,0.43193,0.05087,2.97428,2,100.0
scenario_54,❌ EMPEORÓ,100,74,74,15.3747,19.19327,-3.81857,-24.84,13,62,13.0,62.0,0.41684,0.18921,0.06974,0.77862,0.45179,0.63966,0.05292,4.34627,2,100.0
scenario_22,❌ EMPEORÓ,100,74,74,15.895,19.76619,-3.87119,-24.35,12,70,12.0,70.0,0.45802,0.1724,0.16075,0.76588,0.44399,0.49312,0.05214,2.57797,2,100.0
scenario_67,❌ EMPEORÓ,100,74,74,14.898,18.772275,-3.874275,-26.01,14,63,14.0,63.0,0.37078,0.18625,0.05111,0.79046,0.50546,0.65859,0.06244,4.81943,2,100.0
scenario_12,❌ EMPEORÓ,98,73,73,13.8727,17.802597,-3.929897,-28.33,9,71,9.0,71.0,0.41009,0.1784,0.08855,0.79561,0.15109,0.09279,0.01296,0.5399,2,100.0
scenario_20,❌ EMPEORÓ,98,73,73,13.9789,17.97557,-3.99667,-28.59,9,64,9.0,64.0,0.41976,0.17882,0.06726,0.78965,0.1481,0.09634,0.02757,0.48527,2,100.0
scenario_19,❌ EMPEORÓ,98,73,73,13.8185,17.819917,-4.001417,-28.96,11,66,11.0,66.0,0.39402,0.17062,0.06946,0.76838,0.14356,0.089,0.0184,0.45613,2,100.0
scenario_24,❌ EMPEORÓ,100,74,74,15.5895,19.960226,-4.370726,-28.04,15,71,15.0,71.0,0.42673,0.19149,0.05486,0.79461,0.5022,0.67822,0.05082,4.66833,2,100.0
scenario_26,❌ EMPEORÓ,100,74,74,15.8085,20.195657,-4.387157,-27.75,7,74,7.0,74.0,0.45306,0.19169,0.08266,0.79466,0.51818,0.68295,0.05188,4.16318,2,100.0
scenario_60,❌ EMPEORÓ,100,74,74,15.0577,19.54855,-4.49085,-29.82,12,60,12.0,60.0,0.4108,0.19531,0.09527,0.79119,0.5395,0.76746,0.05232,5.11619,2,100.0
scenario_18,❌ EMPEORÓ,98,73,73,14.1055,18.707713,-4.602213,-32.63,8,73,8.0,73.0,0.45654,0.17723,0.07468,0.78024,0.16514,0.1134,0.02445,0.53322,2,100.0
scenario_17,❌ EMPEORÓ,98,73,73,13.9985,18.632657,-4.634157,-33.1,11,72,11.0,72.0,0.43854,0.1653,0.10897,0.79068,0.14572,0.10374,0.01512,0.52782,2,100.0
