scenario_id,status,pairs_count,relays_count,optimized_relays,avg_tds,std_tds,min_tds,max_tds,avg_pickup,std_pickup,min_pickup,max_pickup,fault_types,optimization_efficiency
scenario_56,success,100,74,74,0.41070229729729724,0.2119828870996449,0.08287,0.79845,0.5222175675675677,0.7668895954329232,0.054,5.41431,2,100.0
scenario_57,success,100,74,74,0.439889054054054,0.18020227461420182,0.13671,0.79611,0.46435770270270266,0.5322737866939149,0.06009,3.34086,2,100.0
scenario_58,success,100,74,74,0.39851175675675676,0.1840280254241413,0.06545,0.78534,0.46612040540540545,0.49767910907460755,0.0502,2.99185,2,100.0
scenario_59,success,100,74,74,0.4097345945945946,0.1861189589090165,0.07738,0.79204,0.520825,0.6219113144806534,0.05882,3.73158,2,100.0
scenario_60,success,100,74,74,0.41079608108108107,0.19531417311892282,0.09527,0.79119,0.5395018918918918,0.7674573854560365,0.05232,5.11619,2,100.0
scenario_61,success,100,74,74,0.40742216216216215,0.18833581593949497,0.07994,0.78404,0.42645054054054055,0.42340614258107245,0.05717,2.03989,2,100.0
scenario_62,success,100,74,74,0.44679189189189195,0.18752761736554732,0.06793,0.7995,0.5343456756756757,0.7338884736246634,0.06059,4.86734,2,100.0
scenario_63,success,100,74,74,0.4068852702702703,0.18845137525562866,0.08425,0.7841,0.41100864864864867,0.431927145790985,0.05087,2.97428,2,100.0
scenario_64,success,100,74,74,0.431022972972973,0.1772567516933873,0.0511,0.79849,0.4692012162162162,0.5216936287343696,0.05015,3.38855,2,100.0
scenario_65,success,100,74,74,0.42543391891891896,0.1890801484628944,0.09776,0.78532,0.5423545945945946,0.7737347604842323,0.06806,5.59169,2,100.0
scenario_66,success,100,74,74,0.39256432432432437,0.19602753922000749,0.06124,0.79453,0.4421966216216217,0.5303834600863616,0.05188,3.52706,2,100.0
scenario_67,success,100,74,74,0.3707825675675676,0.1862494880461733,0.05111,0.79046,0.5054574324324325,0.65858733755414,0.06244,4.81943,2,100.0
scenario_68,success,100,74,74,0.40636648648648643,0.19212369101653595,0.05134,0.77085,0.42443837837837833,0.5146149614689032,0.05368,3.54369,2,100.0
