scenario_id,tmt_before,tmt_after,improvement_percent,num_cases
scenario_1,0.297491,0,100.0,100
scenario_2,0.35631300000000005,0,100.0,100
scenario_3,0.34921599999999997,0,100.0,100
scenario_4,0.32590800000000003,0,100.0,100
scenario_5,0.473629,0,100.0,100
scenario_6,0.3951969999999999,0,100.0,100
scenario_7,2.265575,0,100.0,100
scenario_8,0.3562349999999999,0,100.0,100
scenario_9,0.4236140000000001,0,100.0,100
scenario_10,0.3827380000000001,0,100.0,100
scenario_11,0.4070459999999999,0,100.0,100
scenario_12,0.35261500000000007,0,100.0,100
scenario_13,0.38364,0,100.0,100
scenario_14,0.9289429999999999,0,100.0,100
scenario_15,0.634228,0,100.0,100
scenario_16,0.467136,0,100.0,100
scenario_17,0.47235499999999997,0,100.0,100
scenario_18,0.3429489999999999,0,100.0,100
scenario_19,0.359124,0,100.0,100
scenario_20,0.48286999999999997,0,100.0,100
scenario_21,0.295638,0,100.0,100
scenario_22,0.29703100000000004,0,100.0,100
scenario_23,0.301821,0,100.0,100
scenario_24,0.30532699999999996,0,100.0,100
scenario_25,0.30193600000000004,0,100.0,100
scenario_26,0.29906600000000005,0,100.0,100
scenario_27,0.29727099999999995,0,100.0,100
scenario_28,0.298141,0,100.0,100
scenario_29,0.30370199999999997,0,100.0,100
scenario_30,0.303349,0,100.0,100
scenario_31,0.299413,0,100.0,100
scenario_32,0.29964699999999994,0,100.0,100
scenario_33,0.30774799999999997,0,100.0,100
scenario_34,0.303379,0,100.0,100
scenario_35,0.305971,0,100.0,100
scenario_36,0.30219700000000005,0,100.0,100
scenario_37,0.36894700000000014,0,100.0,100
scenario_38,0.35824,0,100.0,100
scenario_39,0.387537,0,100.0,100
scenario_40,0.346148,0,100.0,100
scenario_41,0.37997800000000004,0,100.0,100
scenario_42,0.40921099999999994,0,100.0,100
scenario_43,0.340915,0,100.0,100
scenario_44,0.31928400000000007,0,100.0,100
scenario_45,0.46054700000000004,0,100.0,100
scenario_46,0.42285800000000007,0,100.0,100
scenario_47,0.40146,0,100.0,100
scenario_48,0.38352400000000003,0,100.0,100
scenario_49,0.34048700000000004,0,100.0,100
scenario_50,0.34716299999999994,0,100.0,100
scenario_51,0.38122499999999987,0,100.0,100
scenario_52,0.7676450000000002,0,100.0,100
scenario_53,0.31914300000000007,0,100.0,100
scenario_54,0.32323300000000005,0,100.0,100
scenario_55,0.331572,0,100.0,100
scenario_56,0.33646700000000007,0,100.0,100
scenario_57,0.323853,0,100.0,100
scenario_58,0.32473099999999994,0,100.0,100
scenario_59,0.3280619999999999,0,100.0,100
scenario_60,0.3301660000000001,0,100.0,100
scenario_61,0.31790300000000005,0,100.0,100
scenario_62,0.321497,0,100.0,100
scenario_63,0.31822100000000003,0,100.0,100
scenario_64,0.32209699999999997,0,100.0,100
scenario_65,0.34199700000000005,0,100.0,100
scenario_66,0.336717,0,100.0,100
scenario_67,0.33921799999999996,0,100.0,100
scenario_68,0.33385200000000004,0,100.0,100
