Main,Backup,Time_main_before,Time_backup_before,dt_before,coord_before,Time_main_after,Time_backup_after,dt_after,coord_after,improvement
R66,R67,0.2699,0.0857,-0.3842,NO,1.1980477280382305,1.4558254407176774,0.057777712679446924,YES,0.4419777126794469
R7,R6,0.2806,0.0969,-0.38370000000000004,NO,2.176612984520991,2.3869846973050346,0.01037171278404364,YES,0.3940717127840437
R15,R14,0.2676,0.0945,-0.3731,NO,1.7169615616882663,2.524186565716142,0.6072250040278759,YES,0.9803250040278759
R43,R44,0.2732,0.1067,-0.3665,NO,2.6882334114245334,3.194779297117102,0.30654588569256863,YES,0.6730458856925686
R30,R29,0.242,0.0899,-0.3521,NO,1.723596617154339,1.9949788813642229,0.07138226420988375,YES,0.4234822642098838
R51,R52,0.2664,0.1217,-0.3447,NO,1.6822639841074951,1.938164098252136,0.055900114144640856,YES,0.40060011414464086
R9,R8,0.2566,0.13,-0.3266,NO,1.163496677456521,2.524516221660652,1.161019544204131,YES,1.487619544204131
R45,R46,0.254,0.1562,-0.2978,NO,1.7898387535075495,2.1830559461049415,0.19321719259739195,YES,0.49101719259739196
R34,R8,0.2112,0.1335,-0.2777,NO,1.4222072433390938,2.810503425817092,1.1882961824779983,YES,1.4659961824779983
R71,R14,0.1676,0.0969,-0.2707,NO,1.4470716458260633,2.82267481217182,1.175603166345757,YES,1.4463031663457568
R71,R52,0.1676,0.1244,-0.24320000000000003,NO,1.4470716458260633,2.1391850305151467,0.49211338468908344,YES,0.7353133846890835
R34,R46,0.2112,0.1748,-0.2364,NO,1.4222072433390938,2.4861537795307243,0.8639465361916305,YES,1.1003465361916305
R31,R30,0.2701,0.2593,-0.21080000000000004,NO,2.1114259180482584,2.5989522872185074,0.28752636917024893,YES,0.498326369170249
R68,R69,0.2758,0.2685,-0.20729999999999998,NO,1.7054202667840292,1.9784620870971825,0.07304182031315326,YES,0.28034182031315324
R73,R32,0.2818,0.2826,-0.1992,NO,1.8251218613564997,2.27890314976347,0.2537812884069705,YES,0.4529812884069705
R74,R66,0.2838,0.2848,-0.199,NO,1.1487066839571227,1.3529222473906286,0.004215563433505876,YES,0.20321556343350589
R74,R28,0.2838,0.2849,-0.19890000000000002,NO,1.1487066839571227,2.074824096083402,0.7261174121262794,YES,0.9250174121262795
R32,R31,0.2743,0.2759,-0.19840000000000002,NO,2.035763946160047,2.2663072104221347,0.0305432642620877,YES,0.22894326426208772
R40,R41,0.3142,0.3174,-0.19679999999999997,NO,2.2053448989325704,2.8657835645747,0.4604386656421295,YES,0.6572386656421294
R61,R74,0.2964,0.3002,-0.19619999999999999,NO,1.0357866534124993,1.2457471703680316,0.009960516955532295,YES,0.20616051695553228
R54,R73,0.2863,0.2917,-0.1946,NO,1.8131193435817734,2.04772707170498,0.034607728123206394,YES,0.2292077281232064
R63,R64,0.3113,0.3169,-0.19440000000000002,NO,2.0920608029923673,2.4129089924768685,0.12084818948450121,YES,0.31524818948450123
