Scenario,Total_Pairs,Coordinated_Pairs,Uncoordinated_Pairs,Coordination_Percentage,TMT_Signed,TMT_Magnitude,Mean_DT,Std_DT,Min_DT,Max_DT,Median_DT
scenario_49,100,11,89,11.0,-17.756400000000003,17.756400000000003,-0.15096500000000002,0.24932145851290055,-0.493,1.9427999999999999,-0.18095
scenario_5,100,13,87,13.0,-24.94750000000001,24.94750000000001,-0.21404900000000004,0.5558390480157003,-3.7164,3.1734999999999998,-0.17995
scenario_50,100,9,91,9.0,-17.785600000000006,17.785600000000006,-0.14583800000000002,0.2785074554765096,-0.4963,2.2216,-0.181
scenario_51,100,14,86,14.000000000000002,-17.582700000000003,17.582700000000003,-0.11695800000000002,0.5291335455591527,-0.49920000000000003,4.9506,-0.1794
scenario_52,100,13,87,13.0,-17.646800000000002,17.646800000000002,0.266535,4.257345843935514,-0.5025999999999999,42.5852,-0.18000000000000002
scenario_53,100,9,91,9.0,-15.508400000000002,15.508400000000002,-0.15316600000000002,0.09848892955048298,-0.38370000000000004,0.11030000000000001,-0.17055000000000003
scenario_54,100,13,87,13.0,-15.374700000000006,15.374700000000006,-0.151062,0.10041465309405793,-0.38339999999999996,0.15089999999999998,-0.16885000000000003
scenario_55,100,15,85,15.0,-15.0913,15.0913,-0.14614700000000003,0.10551757716608166,-0.383,0.2562,-0.166
scenario_56,100,12,88,12.0,-14.9869,14.9869,-0.14361000000000002,0.10980431002469802,-0.38370000000000004,0.3219,-0.16535000000000002
scenario_57,100,12,88,12.0,-15.263099999999996,15.263099999999996,-0.150311,0.0980440042990901,-0.3929,0.1486,-0.1704
scenario_58,100,12,88,12.0,-15.259300000000001,15.259300000000001,-0.14994700000000002,0.09909158032345634,-0.388,0.15729999999999994,-0.16905
scenario_59,100,12,88,12.0,-15.161900000000001,15.161900000000001,-0.14771900000000004,0.10282799783619245,-0.3801,0.23499999999999993,-0.16765
scenario_6,100,13,87,13.0,-20.974700000000002,20.974700000000002,-0.19232600000000005,0.2803689403696493,-1.8295,1.3780000000000001,-0.181
scenario_60,100,12,88,12.0,-15.057700000000006,15.057700000000006,-0.146225,0.10426558912220273,-0.3765,0.25249999999999995,-0.16615
scenario_61,100,11,89,11.0,-15.425599999999998,15.425599999999998,-0.15292400000000003,0.09595808264028623,-0.393,0.08149999999999996,-0.17205
scenario_62,100,14,86,14.000000000000002,-15.330900000000003,15.330900000000003,-0.151279,0.09769012569855767,-0.3925,0.12569999999999998,-0.17045000000000002
scenario_63,100,15,85,15.0,-15.476200000000006,15.476200000000006,-0.15305700000000003,0.09708970002528591,-0.3887,0.10520000000000002,-0.17109999999999997
scenario_64,100,11,89,11.0,-15.363399999999993,15.363399999999993,-0.15126,0.09883499380280245,-0.3883,0.1315,-0.16930000000000006
scenario_65,100,15,85,15.0,-14.815099999999994,14.815099999999994,-0.13989699999999997,0.11722462322822795,-0.3787,0.4289,-0.1632
scenario_66,100,14,86,14.000000000000002,-14.944799999999997,14.944799999999997,-0.14279399999999998,0.11147470369550215,-0.376,0.3483,-0.16355000000000003
scenario_67,100,14,86,14.000000000000002,-14.897999999999998,14.897999999999998,-0.14165,0.1138437011871979,-0.3798,0.38230000000000003,-0.1641
scenario_68,100,16,84,16.0,-15.042900000000005,15.042900000000005,-0.14477900000000002,0.10796744351423719,-0.3795,0.293,-0.1653
scenario_7,100,14,86,14.000000000000002,-17.786299999999994,17.786299999999994,1.745175,19.070231927396037,-0.5099,191.48610000000002,-0.1805
scenario_8,100,12,88,12.0,-19.002700000000004,19.002700000000004,-0.18047600000000003,0.1742544771992961,-0.9893000000000001,0.5927,-0.18130000000000004
scenario_9,100,14,86,14.000000000000002,-20.1472,20.1472,-0.17632500000000004,0.2925142948216377,-1.9074,1.4432,-0.17450000000000002
