Scenario,Has_Optimization,Total_Pairs,TMT,Coordination_Percentage,Mean_DT,Std_DT,Min_DT,Max_DT,TMT_After,TMT_Improvement,TMT_Improvement_Pct,Coord_After,Coord_Improvement,Mean_DT_After,Std_DT_After
automation_results_scenario_50,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-3.703615825565942,-3.703615825565942,0.0,96.0,96.0,inf,
automation_results_scenario_45,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.815710753607918,-4.815710753607918,0.0,96.0,96.0,inf,
automation_results_scenario_34,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.7270751920174345,0.7447343985955475
automation_results_scenario_21,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.6967431005692997,0.6668441902353236
automation_results_scenario_44,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.411569835890543,-4.411569835890543,0.0,98.0,98.0,inf,
automation_results_scenario_51,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.246640483642622,-5.246640483642622,0.0,96.0,96.0,inf,
automation_results_scenario_20,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.054246406311534,-5.054246406311534,0.0,98.0,98.0,inf,
automation_results_scenario_35,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004611648430623394,-0.004611648430623394,0.0,99.0,99.0,0.7920659376329275,0.9526448183978738
automation_results_scenario_28,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.7437533645912611,0.7585902315181884
automation_results_scenario_59,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.840095297432466,0.9743642380866248
automation_results_scenario_56,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.9572396882470424,1.0999861378284197
automation_results_scenario_43,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9594338955251995,-3.9594338955251995,0.0,98.0,98.0,inf,
automation_results_scenario_32,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10259751037136566,-0.10259751037136566,0.0,96.0,96.0,0.6718660346144518,0.8898282320925015
