Main,Backup,Time_main_before,Time_backup_before,dt_before,coord_before,Time_main_after,Time_backup_after,dt_after,coord_after,improvement
R66,R67,0.2699,0.0857,-0.3842,NO,1.8231510122856176,2.0513530209560265,0.02820200867040884,YES,0.4124020086704088
R7,R6,0.2806,0.0969,-0.38370000000000004,NO,2.063536145015851,2.3280760219768153,0.06453987696096436,YES,0.4482398769609644
R15,R14,0.2676,0.0945,-0.3731,NO,1.6405637465180087,1.8535146676078662,0.012950921089857459,YES,0.38605092108985745
R43,R44,0.2732,0.1067,-0.3665,NO,2.1277754748512963,2.6821524204240412,0.35437694557274496,YES,0.720876945572745
R30,R29,0.242,0.0899,-0.3521,NO,1.427917637014731,2.1010883828933045,0.4731707458785734,YES,0.8252707458785734
R51,R52,0.2664,0.1217,-0.3447,NO,1.9578071395667218,2.344066553637973,0.18625941407125118,YES,0.5309594140712512
R9,R8,0.2566,0.13,-0.3266,NO,2.32906572737382,3.133883229619213,0.6048175022453932,YES,0.9314175022453932
R45,R46,0.254,0.1562,-0.2978,NO,2.247979963431868,3.486227640414391,1.0382476769825228,YES,1.336047676982523
R34,R8,0.2112,0.1335,-0.2777,NO,2.5778316822401974,3.370836389598002,0.5930047073578046,YES,0.8707047073578047
R71,R14,0.1676,0.0969,-0.2707,NO,1.4859884737261095,1.9967668798078249,0.3107784060817153,YES,0.5814784060817153
R71,R52,0.1676,0.1244,-0.24320000000000003,NO,1.4859884737261095,2.5002708288390236,0.8142823551129141,YES,1.0574823551129142
R34,R46,0.2112,0.1748,-0.2364,NO,2.5778316822401974,4.752026834735355,1.974195152495158,YES,2.210595152495158
R31,R30,0.2701,0.2593,-0.21080000000000004,NO,2.062481344563614,2.3164085740454423,0.05392722948182821,YES,0.26472722948182825
R68,R69,0.2758,0.2685,-0.20729999999999998,NO,1.7047294375436761,1.9089225850884688,0.004193147544792664,YES,0.21149314754479265
R73,R32,0.2818,0.2826,-0.1992,NO,1.7979157092471167,2.0883707327047167,0.09045502345759998,YES,0.28965502345759997
R74,R66,0.2838,0.2848,-0.199,NO,1.8605756575122274,2.1762627032384447,0.1156870457262173,YES,0.3146870457262173
R74,R28,0.2838,0.2849,-0.19890000000000002,NO,1.8605756575122274,2.156785817255727,0.09621015974349939,YES,0.2951101597434994
R32,R31,0.2743,0.2759,-0.19840000000000002,NO,1.9079645976336397,2.189368486396357,0.08140388876271726,YES,0.2798038887627173
R40,R41,0.3142,0.3174,-0.19679999999999997,NO,1.4501033407171253,1.84413681483428,0.19403347411715471,YES,0.3908334741171547
R61,R74,0.2964,0.3002,-0.19619999999999999,NO,1.8663696231750626,2.1090163999503213,0.04264677677525869,YES,0.23884677677525867
R54,R73,0.2863,0.2917,-0.1946,NO,1.6910882859122793,1.9239062339738902,0.03281794806161081,YES,0.2274179480616108
R63,R64,0.3113,0.3169,-0.19440000000000002,NO,2.16006018768785,2.8664186033153696,0.5063584156275198,YES,0.7007584156275198
R10,R9,0.2905,0.2965,-0.194,NO,2.4381708648060703,4.255375086297836,1.6172042214917661,YES,1.811204221491766
R47,R48,0.3008,0.3071,-0.19370000000000004,NO,2.044205900226183,3.167223344735851,0.9230174445096677,YES,1.1167174445096677
R55,R56,0.3338,0.3406,-0.19319999999999998,NO,1.9719750546428496,6.080134181122357,3.9081591264795073,YES,4.101359126479507
R48,R72,0.2941,0.3011,-0.193,NO,2.8494584744228995,3.716428343907885,0.6669698694849855,YES,0.8599698694849855
R48,R49,0.2941,0.3011,-0.193,NO,2.8494584744228995,3.573049591898752,0.5235911174758525,YES,0.7165911174758526
R50,R51,0.2724,0.2828,-0.1896,NO,2.197193833960109,2.488712174997365,0.09151834103725615,YES,0.28111834103725614
R36,R17,0.2786,0.2894,-0.18920000000000003,NO,1.635781018402394,1.875988913395933,0.040207894993539106,YES,0.22940789499353914
R26,R25,0.2681,0.2793,-0.18880000000000002,NO,1.4864293413988174,2.0840846202842225,0.39765527888540503,YES,0.586455278885405
R57,R58,0.2858,0.2982,-0.1876,NO,2.637371099663062,4.243045230251002,1.4056741305879397,YES,1.5932741305879397
R41,R42,0.2931,0.3056,-0.18750000000000006,NO,1.6618038920570954,2.0054020066269205,0.14359811456982502,YES,0.3310981145698251
R57,R33,0.2858,0.2983,-0.1875,NO,2.637371099663062,4.433488185550894,1.5961170858878322,YES,1.7836170858878322
R37,R24,0.2711,0.2843,-0.18680000000000002,NO,2.175350609939143,2.5602242133204762,0.18487360338133313,YES,0.37167360338133315
R53,R54,0.2859,0.3002,-0.18569999999999998,NO,1.716995733057354,1.9448630120445756,0.027867278987221578,YES,0.21356727898722155
R13,R12,0.2698,0.2842,-0.1856,NO,2.402605867012831,3.3529347304508264,0.7503288634379952,YES,0.9359288634379952
R17,R16,0.2776,0.2922,-0.1854,NO,1.5990295291452044,2.1091067673361,0.3100772381908958,YES,0.4954772381908958
R4,R3,0.2605,0.2754,-0.18510000000000004,NO,1.8431590465043726,4.034965555439353,1.9918065089349801,YES,2.17690650893498
R15,R34,0.2676,0.2833,-0.18430000000000002,NO,1.6405637465180087,5.560786560779596,3.7202228142615876,YES,3.9045228142615875
R65,R37,0.2715,0.2874,-0.18410000000000004,NO,1.7047585742075495,2.4428465314890384,0.538087957281489,YES,0.722187957281489
R65,R66,0.2715,0.2876,-0.1839,NO,1.7047585742075495,2.254426362781182,0.3496677885736325,YES,0.5335677885736325
R51,R34,0.2664,0.2833,-0.18310000000000004,NO,1.9578071395667218,5.560786560779596,3.4029794212128746,YES,3.5860794212128746
R3,R2,0.2554,0.2731,-0.18230000000000002,NO,2.716078826002756,3.374663082126848,0.458584256124092,YES,0.6408842561240919
R25,R5,0.2712,0.2896,-0.18159999999999998,NO,1.868455280784548,2.454768090626768,0.3863128098422199,YES,0.5679128098422199
R25,R43,0.2712,0.2898,-0.1814,NO,1.868455280784548,2.7929740994203347,0.7245188186357867,YES,0.9059188186357867
R64,R65,0.2766,0.299,-0.17760000000000004,NO,2.281759731763747,2.5732661871869458,0.09150645542319874,YES,0.2691064554231988
R42,R43,0.2696,0.2925,-0.17710000000000004,NO,1.417012645468472,2.933483522156387,1.316470876687915,YES,1.493570876687915
R22,R2,0.2513,0.2742,-0.17710000000000004,NO,1.9565874656282716,3.4563350482161512,1.2997475825878797,YES,1.4768475825878797
R16,R15,0.2627,0.2863,-0.1764,NO,1.6691466650392246,1.8711292991121489,0.001982634072924261,YES,0.17838263407292426
R69,R36,0.2626,0.2865,-0.17610000000000003,NO,1.7368489386783228,1.9557961840310139,0.018947245352691044,YES,0.19504724535269108
R42,R62,0.2696,0.2943,-0.1753,NO,1.417012645468472,2.285939247267138,0.6689266017986659,YES,0.8442266017986659
R5,R4,0.2545,0.2809,-0.17360000000000003,NO,1.7742736057641428,2.565609190980098,0.5913355852159554,YES,0.7649355852159554
R27,R26,0.2547,0.2815,-0.17320000000000002,NO,1.26483271589366,1.5987820235795172,0.13394930768585706,YES,0.3071493076858571
R24,R23,0.2569,0.2845,-0.17240000000000005,NO,2.06532723039566,2.845628449749189,0.5803012193535293,YES,0.7527012193535294
R28,R27,0.2606,0.2905,-0.17010000000000003,NO,1.4568469472835275,1.732575601168626,0.07572865388509847,YES,0.2458286538850985
R18,R1,0.2453,0.2753,-0.17,NO,1.6267878136842084,3.367217027897458,1.5404292142132494,YES,1.7104292142132493
R12,R11,0.2458,0.2761,-0.1697,NO,1.7148560432928854,2.348561323576628,0.4337052802837424,YES,0.6034052802837424
R58,R35,0.2675,0.2984,-0.16910000000000003,NO,3.0756378766622894,7.788095279526019,4.51245740286373,YES,4.681557402863731
R60,R61,0.2978,0.3293,-0.16850000000000004,NO,1.7099139679570319,2.1549596918646508,0.24504572390761886,YES,0.4135457239076189
R72,R21,0.2489,0.282,-0.16690000000000005,NO,2.343064439705572,2.6912858543098914,0.14822141460431942,YES,0.31512141460431947
R20,R19,0.2546,0.2883,-0.1663,NO,3.014286004828497,3.7396861029482205,0.5254000981197235,YES,0.6917000981197235
R2,R1,0.2409,0.2769,-0.16400000000000003,NO,1.90238996160755,3.457079079608451,1.3546891180009013,YES,1.5186891180009012
R23,R22,0.2445,0.2814,-0.16310000000000002,NO,1.9206932200483482,2.391529143312183,0.2708359232638346,YES,0.4339359232638346
R11,R10,0.2587,0.2975,-0.1612,NO,2.017545380896587,2.6053547657463323,0.3878093848497454,YES,0.5490093848497455
R70,R20,0.2375,0.2764,-0.16110000000000002,NO,1.4043914404224314,3.713549865024259,2.1091584246018273,YES,2.2702584246018276
R19,R18,0.2243,0.2687,-0.15560000000000002,NO,1.3002696230276716,2.6919912304952978,1.1917216074676262,YES,1.3473216074676262
R49,R50,0.2485,0.2934,-0.15510000000000002,NO,2.3400530045273777,2.575353008677134,0.03530000414975615,YES,0.19040000414975616
